NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
Symphony Suites,Arakere , Bangalore,https://jiwirooms.com/app/hotel_logo/39122.JPG,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Symphony-Suites_BUDGET_STAYS_HOTEL_RYRr
Hotel Champion inn,Mathikere , Bangalore,https://jiwirooms.com/app/hotel_logo/IMG-20180227-WA0007 (1).jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Champion-inn_BUDGET_STAYS_HOTEL_RWVu
The Prinice Gardenia,Uttharahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/Royal Executive.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/The-Prinice-Gardenia_BUDGET_STAYS_HOTEL_RWRq
Paradise suites,Madiwala , Bangalore,https://jiwirooms.com/app/hotel_logo/IMG-20180809-WA0002.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Paradise-suites_BUDGET_STAYS_HOTEL_RVXp
Transit Dorms,BTM Layout , Bangalore,https://jiwirooms.com/app/hotel_logo/37992.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Transit-Dorms_BUDGET_STAYS_HOTEL_RVQu
Hotel golden bell,Bhuvanappa Layout , Bangalore,https://jiwirooms.com/app/hotel_logo/Capture22.JPG,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-golden-bell_BUDGET_STAYS_HOTEL_RVXr
NAKSHATRA LODGE,Hosakote , Bangalore,https://jiwirooms.com/app/hotel_logo/jiwirooms_4092_1545286170_IMG-20181220-WA0002.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/NAKSHATRA-LODGE_BUDGET_STAYS_HOTEL_SPZr
sunray inn,kadubisanahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/1.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/sunray-inn_BUDGET_STAYS_HOTEL_RWVq
Hotel R R international,Gandhi Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/rr5.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Hotel-R-R-international_BUDGET_STAYS_HOTEL_RVUq
Adyar Ananda Bhavan Residency,Nagawara , Bangalore,https://jiwirooms.com/app/hotel_logo/adnag1.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Adyar-Ananda-Bhavan-Residency_BUDGET_STAYS_HOTEL_RVWt
Lords Eco inn,nayandahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/5s.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Lords-Eco-inn_BUDGET_STAYS_HOTEL_RWXt
Hotel Empark,Wilson Garden , Bangalore,https://jiwirooms.com/app/hotel_logo/he4.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Empark_BUDGET_STAYS_HOTEL_RVUr
Hotel nandhini,St marks road , Bangalore,https://jiwirooms.com/app/hotel_logo/nand5.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Hotel-nandhini_BUDGET_STAYS_HOTEL_RVXv
Queens Castle,HSR Layout , Bangalore,https://jiwirooms.com/app/hotel_logo/qu1.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Queens-Castle_BUDGET_STAYS_HOTEL_RWTy
